CommonLoggerDTO[dateTime=2025-05-15T12:28:15.652313600, ip=0:0:0:0:0:0:0:1, uri=/api/v1/students, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T13:55:32.466809800, ip=0:0:0:0:0:0:0:1, uri=/api/v1/groups, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T13:55:51.445333700, ip=0:0:0:0:0:0:0:1, uri=/api/v1/groups/80328910-399e-4454-8467-c2419fd31192, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:07:50.136670900, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:08:23.769307800, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:09:04.472358100, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:15:08.199077900, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:15:57.432364, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:17:06.351129900, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:19:14.158613400, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:21:35.889456200, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:23:45.616761600, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:23:53.634933800, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:24:22.793756800, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:24:27.292168500, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:24:30.407971700, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
CommonLoggerDTO[dateTime=2025-05-15T14:24:37.953589400, ip=0:0:0:0:0:0:0:1, uri=/api/v1/auth/register, userAgent=PostmanRuntime/7.43.4, lang=null, realIp=null]
